Date : 2024-01-17 17:25:04
Directory : c:\Users\msi\source\repos\LearnOpenGL
Total : 774 files,  143623 codes, 44823 comments, 27635 blanks, all 216081 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |        646 |    108,555 |     40,707 |     20,916 |    170,178 |
| C           |         65 |     30,638 |      3,722 |      5,644 |     40,004 |
| Objective-C |          5 |      3,006 |        343 |        723 |      4,072 |
| F#          |         41 |        653 |         51 |        213 |        917 |
| Markdown    |          4 |        406 |          0 |         59 |        465 |
| CMake       |         13 |        365 |          0 |         80 |        445 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        774 |    143,623 |     44,823 |     27,635 |    216,081 |
| . (Files)                                                                                       |          1 |          1 |          0 |          0 |          1 |
| deps                                                                                            |        116 |     69,099 |     16,421 |     10,034 |     95,554 |
| deps\glfw-3.3.9                                                                                 |        116 |     69,099 |     16,421 |     10,034 |     95,554 |
| deps\glfw-3.3.9 (Files)                                                                         |          3 |        405 |          0 |         59 |        464 |
| deps\glfw-3.3.9\CMake                                                                           |          9 |        164 |          0 |         40 |        204 |
| deps\glfw-3.3.9\CMake (Files)                                                                   |          5 |         88 |          0 |         17 |        105 |
| deps\glfw-3.3.9\CMake\modules                                                                   |          4 |         76 |          0 |         23 |         99 |
| deps\glfw-3.3.9\deps                                                                            |         18 |     35,589 |      6,190 |      3,089 |     44,868 |
| deps\glfw-3.3.9\deps (Files)                                                                    |         10 |     24,074 |      5,612 |      2,390 |     32,076 |
| deps\glfw-3.3.9\deps\glad                                                                       |          4 |      9,043 |        250 |        425 |      9,718 |
| deps\glfw-3.3.9\deps\mingw                                                                      |          3 |      2,320 |        273 |        233 |      2,826 |
| deps\glfw-3.3.9\deps\vs2008                                                                     |          1 |        152 |         55 |         41 |        248 |
| deps\glfw-3.3.9\examples                                                                        |          9 |      2,621 |        821 |        776 |      4,218 |
| deps\glfw-3.3.9\include                                                                         |          2 |        696 |      5,578 |        294 |      6,568 |
| deps\glfw-3.3.9\include\GLFW                                                                    |          2 |        696 |      5,578 |        294 |      6,568 |
| deps\glfw-3.3.9\src                                                                             |         55 |     24,102 |      3,138 |      4,585 |     31,825 |
| deps\glfw-3.3.9\tests                                                                           |         20 |      5,522 |        694 |      1,191 |      7,407 |
| include                                                                                         |        521 |     63,692 |     27,412 |     14,976 |    106,080 |
| include (Files)                                                                                 |         11 |      9,914 |      2,283 |      1,581 |     13,778 |
| include\KHR                                                                                     |          1 |        117 |        165 |         30 |        312 |
| include\assimp                                                                                  |         89 |     10,324 |     12,035 |      3,240 |     25,599 |
| include\assimp (Files)                                                                          |         86 |      9,700 |     11,748 |      3,171 |     24,619 |
| include\assimp\Compiler                                                                         |          3 |        624 |        287 |         69 |        980 |
| include\glad                                                                                    |          1 |      3,575 |         20 |         17 |      3,612 |
| include\glm                                                                                     |        419 |     39,762 |     12,909 |     10,108 |     62,779 |
| include\glm (Files)                                                                             |         23 |      1,713 |      1,249 |        446 |      3,408 |
| include\glm\detail                                                                              |         61 |     16,884 |      1,101 |      3,025 |     21,010 |
| include\glm\ext                                                                                 |        163 |      3,828 |      3,774 |      1,596 |      9,198 |
| include\glm\gtc                                                                                 |         38 |      5,304 |      3,366 |      2,088 |     10,758 |
| include\glm\gtx                                                                                 |        124 |     10,614 |      3,036 |      2,640 |     16,290 |
| include\glm\simd                                                                                |         10 |      1,419 |        383 |        313 |      2,115 |
| lib                                                                                             |          4 |        201 |          0 |         40 |        241 |
| lib\cmake                                                                                       |          4 |        201 |          0 |         40 |        241 |
| lib\cmake\assimp-5.3                                                                            |          4 |        201 |          0 |         40 |        241 |
| proj10_camera                                                                                   |          7 |        641 |         68 |        171 |        880 |
| proj10_camera\src                                                                               |          7 |        641 |         68 |        171 |        880 |
| proj11_colors                                                                                   |          5 |        205 |         32 |         67 |        304 |
| proj11_colors\shaders                                                                           |          2 |         14 |          0 |          3 |         17 |
| proj11_colors\src                                                                               |          3 |        191 |         32 |         64 |        287 |
| proj12_diffuse                                                                                  |          9 |        460 |         52 |        154 |        666 |
| proj12_diffuse\shaders                                                                          |          4 |         71 |          8 |         23 |        102 |
| proj12_diffuse\src                                                                              |          5 |        389 |         44 |        131 |        564 |
| proj13_material                                                                                 |          9 |        488 |         88 |        149 |        725 |
| proj13_material\shaders                                                                         |          4 |         86 |          6 |         25 |        117 |
| proj13_material\src                                                                             |          5 |        402 |         82 |        124 |        608 |
| proj14_lightmap                                                                                 |          8 |        575 |         70 |        188 |        833 |
| proj14_lightmap\shaders                                                                         |          3 |         81 |          6 |         31 |        118 |
| proj14_lightmap\src                                                                             |          5 |        494 |         64 |        157 |        715 |
| proj15_lightcast                                                                                |          8 |        619 |         61 |        206 |        886 |
| proj15_lightcast\shaders                                                                        |          3 |         86 |         12 |         34 |        132 |
| proj15_lightcast\src                                                                            |          5 |        533 |         49 |        172 |        754 |
| proj16_lightmultiple                                                                            |          5 |        367 |         39 |        118 |        524 |
| proj16_lightmultiple\shaders                                                                    |          2 |         69 |         10 |         27 |        106 |
| proj16_lightmultiple\src                                                                        |          3 |        298 |         29 |         91 |        418 |
| proj17_models                                                                                   |          3 |        277 |         34 |         75 |        386 |
| proj17_models\shaders                                                                           |          2 |         58 |          8 |         18 |         84 |
| proj17_models\src                                                                               |          1 |        219 |         26 |         57 |        302 |
| proj18_depth_testing                                                                            |          7 |        507 |         44 |        144 |        695 |
| proj18_depth_testing\shaders                                                                    |          2 |         24 |          0 |          5 |         29 |
| proj18_depth_testing\src                                                                        |          5 |        483 |         44 |        139 |        666 |
| proj19_stencil_testing                                                                          |          5 |        291 |         29 |         79 |        399 |
| proj19_stencil_testing\shaders                                                                  |          2 |         14 |          0 |          4 |         18 |
| proj19_stencil_testing\src                                                                      |          3 |        277 |         29 |         75 |        381 |
| proj20_blending                                                                                 |          7 |        589 |         56 |        146 |        791 |
| proj20_blending\shaders                                                                         |          2 |         24 |          0 |          4 |         28 |
| proj20_blending\src                                                                             |          5 |        565 |         56 |        142 |        763 |
| proj21_face_culling                                                                             |          4 |        263 |         23 |         75 |        361 |
| proj21_face_culling\shaders                                                                     |          1 |         15 |          1 |          2 |         18 |
| proj21_face_culling\src                                                                         |          3 |        248 |         22 |         73 |        343 |
| proj22_framebuffer                                                                              |          7 |        663 |         71 |        168 |        902 |
| proj22_framebuffer\shaders                                                                      |          2 |         24 |          0 |         10 |         34 |
| proj22_framebuffer\src                                                                          |          5 |        639 |         71 |        158 |        868 |
| proj23_cubemaps                                                                                 |          9 |        713 |         72 |        167 |        952 |
| proj23_cubemaps\shaders                                                                         |          4 |         36 |          0 |         12 |         48 |
| proj23_cubemaps\src                                                                             |          5 |        677 |         72 |        155 |        904 |
| proj24_advanced_glsl                                                                            |          5 |        281 |         32 |         65 |        378 |
| proj24_advanced_glsl\shaders                                                                    |          4 |         20 |          0 |          4 |         24 |
| proj24_advanced_glsl\src                                                                        |          1 |        261 |         32 |         61 |        354 |
| proj25_instancing                                                                               |         11 |        619 |         61 |        182 |        862 |
| proj25_instancing\shaders                                                                       |          4 |         31 |          0 |         11 |         42 |
| proj25_instancing\src                                                                           |          7 |        588 |         61 |        171 |        820 |
| proj6_shader                                                                                    |          5 |        195 |         10 |         64 |        269 |
| proj6_shader\src                                                                                |          5 |        195 |         10 |         64 |        269 |
| proj7_texture                                                                                   |          5 |        276 |         36 |         86 |        398 |
| proj7_texture\src                                                                               |          5 |        276 |         36 |         86 |        398 |
| proj8_trans                                                                                     |          3 |        158 |         24 |         47 |        229 |
| proj8_trans\src                                                                                 |          3 |        158 |         24 |         47 |        229 |
| proj9_coords                                                                                    |          5 |        467 |         46 |        116 |        629 |
| proj9_coords\src                                                                                |          5 |        467 |         46 |        116 |        629 |
| src                                                                                             |          5 |      1,976 |         42 |        118 |      2,136 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                        | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Users\msi\source\repos\LearnOpenGL\README.md                                                 | Markdown    |          1 |          0 |          0 |          1 |
| c:\Users\msi\source\repos\LearnOpenGL\deps\glfw-3.3.9\CMake\GenerateMappings.cmake              | CMake       |         40 |          0 |          9 |         49 |
| c:\Users\msi\source\repos\LearnOpenGL\deps\glfw-3.3.9\CMake\i686-w64-mingw32-clang.cmake        | CMake       |         12 |          0 |          2 |         14 |
| c:\Users\msi\source\repos\LearnOpenGL\deps\glfw-3.3.9\CMake\i686-w64-mingw32.cmake              | CMake       |         12 |          0 |          2 |         14 |
